sent,sentruby,level
大きさは直径が約２ｃｍで、重さは約１０ｇです。,大(おお)きさは直径(ちょっけい)が約(やく)２ｃｍで、重(おも)さは約(やく)１０ｇです。,3.5
このため、将来は宇宙に貴金属などの資源を取りに行く可能性も考えられます。,このため、将来(しょうらい)は宇宙(うちゅう)に貴金属(ききんぞく)などの資源(しげん)を取(と)りに行(い)く可能性(かのうせい)も考(かんが)えられます。,2.6
地球で取ることができる鉱石と比べて鉄の量が約３倍です。,地球(ちきゅう)で取(と)ることができる鉱石(こうせき)と比(くら)べて鉄(てつ)の量(りょう)が約(やく)３倍(ばい)です。,2.9
しかし、本当に宇宙まで資源を取りに行くのでしょうか。,しかし、本当(ほんとう)に宇宙(うちゅう)まで資源(しげん)を取(と)りに行(い)くのでしょうか。,2.9
関東地方では１２日、夕方から雷と強い雨が降りました。,関東(かんとう)地方(ちほう)では１２日(にち)、夕方(ゆうがた)から雷(かみなり)と強(つよ)い雨(あめ)が降(ふ)りました。,3.7
この雨で、東京都や埼玉県では、建物の中に水が入る被害がありました。,この雨(あめ)で、東京都(とうきょうと)や埼玉県(さいたまけん)では、建物(たてもの)の中(なか)に水(みず)が入(はい)る被害(ひがい)がありました。,3.9
また、雷が落ちたため多くの電車が止まったり、遅れたりしました。,また、雷(かみなり)が落(お)ちたため多(おお)くの電車(でんしゃ)が止(と)まったり、遅(おく)れたりしました。,3.6
この日は、宇宙ステーションで火事になった場合を考えて、訓練を行いました。,この日(ひ)は、宇宙(うちゅう)ステーションで火事(かじ)になった場合(ばあい)を考(かんが)えて、訓練(くんれん)を行(おこな)いました。,3.7
若田さんは、日本人で初めて船長になることは大きな挑戦だと話しました。,若田(わかた)さんは、日本人(にっぽんじん)で初(はじ)めて船長(せんちょう)になることは大(おお)きな挑戦(ちょうせん)だと話(はな)しました。,3.8
ＪＴＢや阪急交通社でも、去年に比べて約５％増えています。,ＪＴＢや阪急交通社(はんきゅうこうつうしゃ)でも、去年(きょねん)に比(くら)べて約(やく)５％増(ふ)えています。,3.3
藤子不二雄Ａさんは、「オバケのＱ太郎」の絵を描きました。,藤子(ふじこ)不二雄(ふじお)Ａさんは、「オバケのＱ太郎(たろう)」の絵(え)を描(か)きました。,2.8
ロビーには飲み物や蚊が近くへ来ないようにする線香も用意してあります。,ロビーには飲(の)み物(もの)や蚊(か)が近(ちか)くへ来(こ)ないようにする線香(せんこう)も用意(ようい)してあります。,3.6
中国で政府の建物に人々が泊まることができるのはとても珍しいことです。,中国(ちゅうごく)で政府(せいふ)の建物(たてもの)に人々(ひとびと)が泊(と)まることができるのはとても珍(めずら)しいことです。,3.3
太平洋戦争が終わってから６８年になりました。,太平洋戦争(たいへいようせんそう)が終(お)わってから６８年(ねん)になりました。,3.7
式には戦争で亡くなった人の家族など約６０００人が出席しました。,式(しき)には戦争(せんそう)で亡(な)くなった人(ひと)の家族(かぞく)など約(やく)６０００人(にん)が出席(しゅっせき)しました。,3.6
そして、１２時になると、全員で１分の間、静かに祈りました。,そして、１２時(じ)になると、全員(ぜんいん)で１分(ぷん)の間(あいだ)、静(しず)かに祈(いの)りました。,3.9
参加した人は、すぐに写真を撮って、ホームページに写真を送っていました。,参加(さんか)した人(ひと)は、すぐに写真(しゃしん)を撮(と)って、ホームページに写真(しゃしん)を送(おく)っていました。,3.6
目の不自由な人のためには、声に出して知らせることもできるようになります。,目(め)の不自由(ふじゆう)な人(ひと)のためには、声(こえ)に出(だ)して知(し)らせることもできるようになります。,4.2
多くの高校生がほとんど一日中スマートフォンを使っていることが分かりました。,多(おお)くの高校生(こうこうせい)がほとんど一日(いちにち)中(じゅう)スマートフォンを使(つか)っていることが分(わ)かりました。,4.9
市民はマスクをつけて、家や店の入り口などに積もった火山灰を掃除していました。,市民(しみん)はマスクをつけて、家(いえ)や店(みせ)の入(い)り口(ぐち)などに積(つ)もった火山灰(かざんばい)を掃除(そうじ)していました。,3.8
気象台によると、桜島がこのあと大きな噴火をする様子はありません。,気象台(きしょうだい)によると、桜島(さくらじま)がこのあと大(おお)きな噴火(ふんか)をする様子(ようす)はありません。,3.5
高知県の早明浦ダムの水は香川県と徳島県で使っています。,高知県(こうちけん)の早明浦(さめうら)ダムの水(みず)は香川県(かがわけん)と徳島県(とくしまけん)で使(つか)っています。,3.6
この建物はダムに水がたくさんあるときは見えません。,この建物(たてもの)はダムに水(みず)がたくさんあるときは見(み)えません。,4.5
ダムに水がたまっている割合も約３０％で、少なくなっています。,ダムに水(みず)がたまっている割合(わりあい)も約(やく)３０％で、少(すく)なくなっています。,3.8
契約社員から正社員になると、給料などの条件が変わります。,契約社員(けいやくしゃいん)から正社員(せいしゃいん)になると、給料(きゅうりょう)などの条件(じょうけん)が変(か)わります。,3.3
正社員が増えると人件費が増える心配もあります。,正社員(せいしゃいん)が増(ふ)えると人件費(じんけんひ)が増(ふ)える心配(しんぱい)もあります。,3.4
来年春には羽田空港を利用する国際線も増える予定です。,来年(らいねん)春(はる)には羽田空港(はねだくうこう)を利用(りよう)する国際線(こくさいせん)も増(ふ)える予定(よてい)です。,3.6
アイデアソンでは、いろいろなアイデアが出ました。,アイデアソンでは、いろいろなアイデアが出(で)ました。,5.0
１２年前と比べると、３分の１から４分の１に減っていることが分かりました。,１２年(ねん)前(まえ)と比(くら)べると、３分(ぶん)の１から４分(ぶん)の１に減(へ)っていることが分(わ)かりました。,4.1
ことしは関東大震災から９０年になります。,ことしは関東大震災(かんとうだいしんさい)から９０年(ねん)になります。,3.5
地震のあと皇居の前に集まった人たちが写っています。,地震(じしん)のあと皇居(こうきょ)の前(まえ)に集(あつ)まった人(ひと)たちが写(うつ)っています。,3.4
海岸には泳ぎに来た人たちが大勢いて、びっくりして軍艦を見ていました。,海岸(かいがん)には泳(およ)ぎに来(き)た人(ひと)たちが大勢(おおぜい)いて、びっくりして軍艦(ぐんかん)を見(み)ていました。,3.6
しかし、泳ぎに来た人たちがいることは知らなかったと説明しています。,しかし、泳(およ)ぎに来(き)た人(ひと)たちがいることは知(し)らなかったと説明(せつめい)しています。,4.2
年を取ると、覚える力が弱くなって「物忘れ」が多くなります。,年(とし)を取(と)ると、覚(おぼ)える力(ちから)が弱(よわ)くなって「物忘(ものわす)れ」が多(おお)くなります。,3.8
この研究を行ったのは、ノーベル賞をもらったエリック・カンデル教授などです。,この研究(けんきゅう)を行(おこな)ったのは、ノーベル賞(しょう)をもらったエリック・カンデル教授(きょうじゅ)などです。,3.7
この計画が成功すると、旧ソビエトとアメリカに続いて、世界で３番目になります。,この計画(けいかく)が成功(せいこう)すると、旧(きゅう)ソビエトとアメリカに続(つづ)いて、世界(せかい)で３番目(ばんめ)になります。,3.5
アメリカやヨーロッパなどでは、宇宙開発のために使うお金を少なくしています。,アメリカやヨーロッパなどでは、宇宙(うちゅう)開発(かいはつ)のために使(つか)うお金(かね)を少(すく)なくしています。,3.7
お金をたくさん使って研究しているため、だんだん技術が高くなってきています。,お金(かね)をたくさん使(つか)って研究(けんきゅう)しているため、だんだん技術(ぎじゅつ)が高(たか)くなってきています。,3.7
７日には金獅子賞を発表する予定です。,７日(なのか)には金獅子賞(きんじししょう)を発表(はっぴょう)する予定(よてい)です。,3.6
そして２９日、試験運転をまた始めました。,そして２９日(にち)、試験(しけん)運転(うんてん)をまた始(はじ)めました。,4.2
北海道釧路町の沖で今月２４日からサケの漁が始まりました。,北海道(ほっかいどう)釧路町(くしろちょう)の沖(おき)で今月(こんげつ)２４日(にじゅうよっか)からサケの漁(りょう)が始(はじ)まりました。,3.8
漁が始まってから４日で８００匹以上になりました。,漁(りょう)が始(はじ)まってから４日(よっか)で８００匹(ぴき)以上(いじょう)になりました。,3.8
マンボウは高い値段で買ってもらうことができません。,マンボウは高(たか)い値段(ねだん)で買(か)ってもらうことができません。,3.5
このため、サケを取る人は困っています。,このため、サケを取(と)る人(ひと)は困(こま)っています。,3.3
宮崎駿さんは、世界で有名なアニメーション映画の監督です。,宮崎(みやざき)駿(はやお)さんは、世界(せかい)で有名(ゆうめい)なアニメーション映画(えいが)の監督(かんとく)です。,2.9
「風の谷のナウシカ」や「となりのトトロ」、「もののけ姫」などの映画が有名です。,「風(かぜ)の谷(たに)のナウシカ」や「となりのトトロ」、「もののけ姫(ひめ)」などの映画(えいが)が有名(ゆうめい)です。,3.6
この映画で、アメリカのアカデミー賞の長編アニメーション映画賞ももらいました。,この映画(えいが)で、アメリカのアカデミー賞(しょう)の長編(ちょうへん)アニメーション映画賞(えいがしょう)ももらいました。,3.6
宮崎さんは今月６日に東京で引退する理由などを話す予定です。,宮崎(みやざき)さんは今月(こんげつ)６日(むいか)に東京(とうきょう)で引退(いんたい)する理由(りゆう)などを話(はな)す予定(よてい)です。,3.7
そして３日午前１時すぎ、原子炉の運転を止めました。,そして３日(みっか)午前(ごぜん)１時(じ)すぎ、原子炉(げんしろ)の運転(うんてん)を止(と)めました。,4.1
このため、日本の原子力発電所はもう一度全部止まります。,このため、日本(にっぽん)の原子力(げんしりょく)発電所(はつでんしょ)はもう一度(いちど)全部(ぜんぶ)止(と)まります。,4.2
三宅さんは大学で声楽を勉強しました。,三宅(みやけ)さんは大学(だいがく)で声楽(せいがく)を勉強(べんきょう)しました。,4.1
シリアでは、政府と政府に反対する人たちの間で戦争が長く続いています。,シリアでは、政府(せいふ)と政府(せいふ)に反対(はんたい)する人(ひと)たちの間(あいだ)で戦争(せんそう)が長(なが)く続(つづ)いています。,3.3
逃げた人の５２％は１７歳以下の若い人や子どもです。,逃(に)げた人(ひと)の５２％は１７歳(さい)以下(いか)の若(わか)い人(ひと)や子(こ)どもです。,3.8
国連は、世界の人に難民たちを助けるように言っています。,国連(こくれん)は、世界(せかい)の人(ひと)に難民(なんみん)たちを助(たす)けるように言(い)っています。,3.9
３日、この会ができたお祝いの式がありました。,３日(みっか)、この会(かい)ができたお祝(いわ)いの式(しき)がありました。,4.0
観光庁によると、日本に旅行に来る外国人は、円安などで増えています。,観光庁(かんこうちょう)によると、日本(にっぽん)に旅行(りょこう)に来(く)る外国人(がいこくじん)は、円安(えんやす)などで増(ふ)えています。,4.3
この会は、外国人の日本での買い物を今の２倍にしたいと言っています。,この会(かい)は、外国人(がいこくじん)の日本(にっぽん)での買(か)い物(もの)を今(いま)の２倍(ばい)にしたいと言(い)っています。,4.7
３つの都市は７日までに２回ずつ練習を行う予定です。,３つの都市(とし)は７日(なのか)までに２回(かい)ずつ練習(れんしゅう)を行(おこな)う予定(よてい)です。,3.9
昼間、ビルの壁に反射した太陽の光がビルの前の建物や道に当たります。,昼間(ひるま)、ビルの壁(かべ)に反射(はんしゃ)した太陽(たいよう)の光(ひかり)がビルの前(まえ)の建物(たてもの)や道(みち)に当(あ)たります。,3.6
ほかにも、道に止まっていた高級な車の形が変わるなどの被害も出ています。,ほかにも、道(みち)に止(と)まっていた高級(こうきゅう)な車(くるま)の形(かたち)が変(か)わるなどの被害(ひがい)も出(で)ています。,3.8
日本の札幌の「雪まつり」のように世界でも有名な冬のお祭りです。,日本(にっぽん)の札幌(さっぽろ)の「雪(ゆき)まつり」のように世界(せかい)でも有名(ゆうめい)な冬(ふゆ)のお祭(まつ)りです。,3.7
来た人たちはきれいな彫刻を写真に撮って楽しんでいました。,来(き)た人(ひと)たちはきれいな彫刻(ちょうこく)を写真(しゃしん)に撮(と)って楽(たの)しんでいました。,3.2
１２回でソフトバンクがホームランで３点を取りました。,１２回(かい)でソフトバンクがホームランで３点(てん)を取(と)りました。,3.3
試合は次の日の午前０時すぎに終わりました。,試合(しあい)は次(つぎ)の日(ひ)の午前(ごぜん)０時(じ)すぎに終(お)わりました。,4.4
そのあと、９４人のＩＯＣ委員が投票を行いました。,そのあと、９４人(にん)のＩＯＣ委員(いいん)が投票(とうひょう)を行(おこな)いました。,3.8
イスタンブールとマドリードは同じ数でした。,イスタンブールとマドリードは同(おな)じ数(かず)でした。,3.5
最後に、東京とイスタンブールのどちらかを選ぶ投票を行いました。,最後(さいご)に、東京(とうきょう)とイスタンブールのどちらかを選(えら)ぶ投票(とうひょう)を行(おこな)いました。,3.9
東京は１９６４年にもオリンピックを行ったので、２回目です。,東京(とうきょう)は１９６４年(ねん)にもオリンピックを行(おこな)ったので、２回(かい)目(め)です。,4.7
東京に決まると、会場にいた人たちは、抱き合って喜んでいました。,東京(とうきょう)に決(き)まると、会場(かいじょう)にいた人(ひと)たちは、抱(だ)き合(あ)って喜(よろこ)んでいました。,3.9
厚生労働省は、去年１０月、日本にある約８５００の病院の調査をしました。,厚生労働省(こうせいろうどうしょう)は、去年(きょねん)１０月(がつ)、日本(にっぽん)にある約(やく)８５００の病院(びょういん)の調査(ちょうさ)をしました。,3.8
１９年続けて前の年より減って、１０年前と比べると２０％減っています。,１９年(ねん)続(つづ)けて前(まえ)の年(とし)より減(へ)って、１０年(ねん)前(まえ)と比(くら)べると２０％減(へ)っています。,3.8
また、医師を大きな病院に集めたことも原因ではないかと言っています。,また、医師(いし)を大(おお)きな病院(びょういん)に集(あつ)めたことも原因(げんいん)ではないかと言(い)っています。,3.7
その結果、ストロンチウムなどの放射性物質が高い濃度で見つかりました。,その結果(けっか)、ストロンチウムなどの放射性(ほうしゃせい)物質(ぶっしつ)が高(たか)い濃度(のうど)で見(み)つかりました。,3.3
この水も放射性物質で汚れないか心配です。,この水(みず)も放射性(ほうしゃせい)物質(ぶっしつ)で汚(よご)れないか心配(しんぱい)です。,3.1
若い音楽家が賞をもらうと、将来成功すると言われています。,若(わか)い音楽家(おんがくか)が賞(しょう)をもらうと、将来(しょうらい)成功(せいこう)すると言(い)われています。,3.5
このウェブサイトでは大学の授業などを無料で受けることができます。,このウェブサイトでは大学(だいがく)の授業(じゅぎょう)などを無料(むりょう)で受(う)けることができます。,3.7
ｉＰｈｏｎｅは、日本では、今まではソフトバンクとＫＤＤＩだけで売っていました。,ｉＰｈｏｎｅは、日本(にっぽん)では、今(いま)まではソフトバンクとＫＤＤＩだけで売(う)っていました。,4.8
この問題を調べていた専門家は、１１日、結果を発表しました。,この問題(もんだい)を調(しら)べていた専門(せんもん)家(か)は、１１日(にち)、結果(けっか)を発表(はっぴょう)しました。,3.5
日本の道を案内する標識はローマ字でも書いてあります。,日本(にっぽん)の道(みち)を案内(あんない)する標識(ひょうしき)はローマ字(じ)でも書(か)いてあります。,3.9
また、県や市などが管理している道でも変えるように言っています。,また、県(けん)や市(し)などが管理(かんり)している道(みち)でも変(か)えるように言(い)っています。,4.0
しかし、飼っていた人が見ている前で津波に流されました。,しかし、飼(か)っていた人(ひと)が見(み)ている前(まえ)で津波(つなみ)に流(なが)されました。,3.3
この橋はアルミ合金という金属でできていて、鉄の橋より軽くなっています。,この橋(はし)はアルミ合金(ごうきん)という金属(きんぞく)でできていて、鉄(てつ)の橋(はし)より軽(かる)くなっています。,3.5
使わないときは約３ｍですが、使うときに伸ばすと約２１ｍの橋になります。,使(つか)わないときは約(やく)３ｍですが、使(つか)うときに伸(の)ばすと約(やく)２１ｍの橋(はし)になります。,3.2
しかし、この橋は１０分で伸ばすことができます。,しかし、この橋(はし)は１０分(ぷん)で伸(の)ばすことができます。,3.3
実験では約１ｔの車が３台一緒に橋を通りましたが、問題はありませんでした。,実験(じっけん)では約(やく)１ｔの車(くるま)が３台(だい)一緒(いっしょ)に橋(はし)を通(とお)りましたが、問題(もんだい)はありませんでした。,3.7
福島菊次郎さんは、ことしで９２歳になった報道カメラマンです。,福島(ふくしま)菊次郎(きくじろう)さんは、ことしで９２歳(さい)になった報道(ほうどう)カメラマンです。,2.5
福島さんが今までに撮った写真は約２５万枚もあります。,福島(ふくしま)さんが今(いま)までに撮(と)った写真(しゃしん)は約(やく)２５万(まん)枚(まい)もあります。,3.3
日本でいちばん多いホームランの記録は今まで５５本でした。,日本(にっぽん)でいちばん多(おお)いホームランの記録(きろく)は今(いま)まで５５本(ほん)でした。,4.4
バレンティン選手はカリブ海のオランダ領キュラソー島出身で、ことし２９歳です。,バレンティン選手(せんしゅ)はカリブ海(かい)のオランダ領(りょう)キュラソー島(とう)出身(しゅっしん)で、ことし２９歳(さい)です。,3.4
バレンティン選手は１５日の試合で５７本目のホームランも打ちました。,バレンティン選手(せんしゅ)は１５日(にち)の試合(しあい)で５７本(ほん)目(め)のホームランも打(う)ちました。,4.2
アトピー性皮膚炎は皮膚に炎症ができる病気です。,アトピー性(せい)皮膚炎(ひふえん)は皮膚(ひふ)に炎症(えんしょう)ができる病気(びょうき)です。,2.4
フィラグリンは皮膚の水分をなくさないようにする働きがあります。,フィラグリンは皮膚(ひふ)の水分(すいぶん)をなくさないようにする働(はたら)きがあります。,3.8
しかし、今は炎症を弱めるための治療しかありません。,しかし、今(いま)は炎症(えんしょう)を弱(よわ)めるための治療(ちりょう)しかありません。,2.7
レーザー光線を当てたねずみは、お腹がいっぱいでも餌を食べ続けました。,レーザー光線(こうせん)を当(あ)てたねずみは、お腹(なか)がいっぱいでも餌(えさ)を食(た)べ続(つづ)けました。,3.0
映画「そして父になる」は、日本では１０月から見ることができます。,映画(えいが)「そして父(ちち)になる」は、日本(にっぽん)では１０月(がつ)から見(み)ることができます。,4.7
先月３０日、水槽からかきを出して、箱に入れました。,先月(せんげつ)３０日(にち)、水槽(すいそう)からかきを出(だ)して、箱(はこ)に入(い)れました。,4.2
そして、東京の築地市場などに震災の前とほとんど同じ４５０の箱を送りました。,そして、東京(とうきょう)の築地市場(つきじしじょう)などに震災(しんさい)の前(まえ)とほとんど同(おな)じ４５０の箱(はこ)を送(おく)りました。,3.5
このため、ことしは大きなかきがたくさんできました。,このため、ことしは大(おお)きなかきがたくさんできました。,5.0
円安などで輸入している物の値段が高くなっています。,円安(えんやす)などで輸入(ゆにゅう)している物(もの)の値段(ねだん)が高(たか)くなっています。,3.8
ごま油も、２つの大きな会社が家庭で使うごま油の値段を１０％ぐらい上げます。,ごま油(あぶら)も、２つの大(おお)きな会社(かいしゃ)が家庭(かてい)で使(つか)うごま油(あぶら)の値段(ねだん)を１０％ぐらい上(あ)げます。,3.7
政府が製粉会社などに売る小麦の値段も、平均で４．１％高くなりました。,政府(せいふ)が製粉(せいふん)会社(がいしゃ)などに売(う)る小麦(こむぎ)の値段(ねだん)も、平均(へいきん)で４．１％高(たか)くなりました。,3.3
これからスーパーなどで売るパンやそば、うどんなどの値段も高くなりそうです。,これからスーパーなどで売(う)るパンやそば、うどんなどの値段(ねだん)も高(たか)くなりそうです。,3.2
３０００年以上前の子どものミイラはひどく壊れましたが、半年かけて直しました。,３０００年(ねん)以上(いじょう)前(まえ)の子(こ)どものミイラはひどく壊(こわ)れましたが、半年(はんとし)かけて直(なお)しました。,4.2
エジプトではことしも別の博物館から１０００以上の文化財が盗まれています。,エジプトではことしも別(べつ)の博物館(はくぶつかん)から１０００以上(いじょう)の文化財(ぶんかざい)が盗(ぬす)まれています。,3.5
最近の大学生はほとんどがツイッターなどのソーシャルメディアを利用しています。,最近(さいきん)の大学生(だいがくせい)はほとんどがツイッターなどのソーシャルメディアを利用(りよう)しています。,4.1
ことしの発表によると、１番から１０番までは全部アメリカとイギリスの大学でした。,ことしの発表(はっぴょう)によると、１番(ばん)から１０番(ばん)までは全部(ぜんぶ)アメリカとイギリスの大学(だいがく)でした。,3.6
３年続けてアジアでトップでした。,３年(ねん)続(つづ)けてアジアでトップでした。,4.0
上野動物園のジャイアントパンダのシンシンに赤ちゃんができた可能性があります。,上野(うえの)動物園(どうぶつえん)のジャイアントパンダのシンシンに赤(あか)ちゃんができた可能性(かのうせい)があります。,3.3
３日は動物園が休みのため、シンシンを見ることができるのは２日まででした。,３日(みっか)は動物園(どうぶつえん)が休(やす)みのため、シンシンを見(み)ることができるのは２日(ふつか)まででした。,4.4
シンシンは、午前中はほとんど、木の台の上で寝ていました。,シンシンは、午前(ごぜん)中(ちゅう)はほとんど、木(き)の台(だい)の上(うえ)で寝(ね)ていました。,4.4
男子個人総合は６つの種目の点を全部足して成績を決めます。,男子(だんし)個人(こじん)総合(そうごう)は６つの種目(しゅもく)の点(てん)を全部(ぜんぶ)足(た)して成績(せいせき)を決(き)めます。,3.5
内村選手はすばらしい技を見せて、いちばんいい点を出しました。,内村(うちむら)選手(せんしゅ)はすばらしい技(わざ)を見(み)せて、いちばんいい点(てん)を出(だ)しました。,3.8
タイやベトナムでは輸出するためにエビを人工で育てています。,タイやベトナムでは輸出(ゆしゅつ)するためにエビを人工(じんこう)で育(そだ)てています。,3.8
タイは世界でいちばん多くエビを輸出している国です。,タイは世界(せかい)でいちばん多(おお)くエビを輸出(ゆしゅつ)している国(くに)です。,4.2
ことしのノーベル賞の発表が、日本の時間で７日夜の医学・生理学賞から始まります。,ことしのノーベル賞(しょう)の発表(はっぴょう)が、日本(にっぽん)の時間(じかん)で７日(なのか)夜(よる)の医学(いがく)・生理学(せいりがく)賞(しょう)から始(はじ)まります。,4.3
そして１０日からは文学賞、平和賞、経済学賞の発表があります。,そして１０日(とおか)からは文学(ぶんがく)賞(しょう)、平和(へいわ)賞(しょう)、経済(けいざい)学(がく)賞(しょう)の発表(はっぴょう)があります。,3.5
今までにノーベル賞をもらった日本人は、南部さんを入れて１９人です。,今(いま)までにノーベル賞(しょう)をもらった日本人(にっぽんじん)は、南部(なんぶ)さんを入(い)れて１９人(にん)です。,4.6
２年続けて日本人がノーベル賞をもらうことができるか注目が集まっています。,２年(ねん)続(つづ)けて日本人(にっぽんじん)がノーベル賞(しょう)をもらうことができるか注目(ちゅうもく)が集(あつ)まっています。,4.3
２年前に南アフリカで見つかりました。,２年(ねん)前(まえ)に南(みなみ)アフリカで見(み)つかりました。,5.0
色がないダイヤモンドでは今回の３０億円が今まででいちばん高い値段です。,色(いろ)がないダイヤモンドでは今回(こんかい)の３０億(おく)円(えん)が今(いま)まででいちばん高(たか)い値段(ねだん)です。,3.9
日本では約５０００人がテストを受けました。,日本(にっぽん)では約(やく)５０００人(にん)がテストを受(う)けました。,4.2
日本は「ＩＴを活用した問題解決力」では１０番でした。,日本(にっぽん)は「ＩＴを活用(かつよう)した問題(もんだい)解決(かいけつ)力(りょく)」では１０番(ばん)でした。,3.7
約１３８億年前、ビッグバンと呼ばれる大きな爆発で宇宙ができました。,約(やく)１３８億(おく)年(ねん)前(まえ)、ビッグバンと呼(よ)ばれる大(おお)きな爆発(ばくはつ)で宇宙(うちゅう)ができました。,3.3
「ヒッグス粒子」は５０年近く見つかっていませんでした。,「ヒッグス粒子(りゅうし)」は５０年(ねん)近(ちか)く見(み)つかっていませんでした。,4.2
この車はタクシーで使いやすいように、日産が新しく作りました。,この車(くるま)はタクシーで使(つか)いやすいように、日産(にっさん)が新(あたら)しく作(つく)りました。,4.5
しかし、今回の判決で、今までと同じように会社や運転手が車を選ぶことになります。,しかし、今回(こんかい)の判決(はんけつ)で、今(いま)までと同(おな)じように会社(かいしゃ)や運転手(うんてんしゅ)が車(くるま)を選(えら)ぶことになります。,4.2
この中には、約６００年前のインカ帝国時代に石で作った動物の像があります。,この中(なか)には、約(やく)６００年(ねん)前(まえ)のインカ帝国(ていこく)時代(じだい)に石(いし)で作(つく)った動物(どうぶつ)の像(ぞう)があります。,3.8
隣の国のチリから運んだと考えられるものも見つかりました。,隣(となり)の国(くに)のチリから運(はこ)んだと考(かんが)えられるものも見(み)つかりました。,3.8
ティティカカ湖の調査はこれから３年続く予定です。,ティティカカ湖(こ)の調査(ちょうさ)はこれから３年(ねん)続(つづ)く予定(よてい)です。,3.1
このとき近くにいた１１人のうち６人が、皮膚に放射性物質が付いて被ばくしました。,このとき近(ちか)くにいた１１人(にん)のうち６人(にん)が、皮膚(ひふ)に放射性(ほうしゃせい)物質(ぶっしつ)が付(つ)いて被(ひ)ばくしました。,3.2
東京電力は、これは健康に問題がないぐらいだと考えています。,東京電力(とうきょうでんりょく)は、これは健康(けんこう)に問題(もんだい)がないぐらいだと考(かんが)えています。,4.0
福島第一原子力発電所では、作業を間違えたことが原因の事故が続いています。,福島(ふくしま)第一(だいいち)原子力(げんしりょく)発電所(はつでんしょ)では、作業(さぎょう)を間違(まちが)えたことが原因(げんいん)の事故(じこ)が続(つづ)いています。,3.6
新しいゲーム機を売る厳しい競争になりそうです。,新(あたら)しいゲーム機(き)を売(う)る厳(きび)しい競争(きょうそう)になりそうです。,3.2
コンビニの会社は客を集めるために、新しいサービスをいろいろ考えています。,コンビニの会社(かいしゃ)は客(きゃく)を集(あつ)めるために、新(あたら)しいサービスをいろいろ考(かんが)えています。,4.3
健康診断ができる車を止めたりして、客を集めようと考えています。,健康診断(けんこうしんだん)ができる車(くるま)を止(と)めたりして、客(きゃく)を集(あつ)めようと考(かんが)えています。,3.2
「セブン－イレブン」は品物を客の家に届けるサービスを全国で行うことにしました。,「セブン－イレブン」は品物(しなもの)を客(きゃく)の家(いえ)に届(とど)けるサービスを全国(ぜんこく)で行(おこな)うことにしました。,3.8
届けるときに使う自転車を１万６０００の全部の店に置く計画です。,届(とど)けるときに使(つか)う自転車(じてんしゃ)を１万(まん)６０００の全部(ぜんぶ)の店(みせ)に置(お)く計画(けいかく)です。,3.8
北海道ではことしより５０％多くなりそうです。,北海道(ほっかいどう)ではことしより５０％多(おお)くなりそうです。,4.8
これは、ことしの夏がひどく暑かったためです。,これは、ことしの夏(なつ)がひどく暑(あつ)かったためです。,4.0
調べた結果は地熱発電を始めたい会社などに知らせることにしています。,調(しら)べた結果(けっか)は地熱(ちねつ)発電(はつでん)を始(はじ)めたい会社(かいしゃ)などに知(し)らせることにしています。,3.9
地熱発電によって周りの自然に問題が出ないかどうか、今月から調査が始まりました。,地熱(ちねつ)発電(はつでん)によって周(まわ)りの自然(しぜん)に問題(もんだい)が出(で)ないかどうか、今月(こんげつ)から調査(ちょうさ)が始(はじ)まりました。,3.9
しかし、人口が少なくなって、農業をする人が足りなくなっています。,しかし、人口(じんこう)が少(すく)なくなって、農業(のうぎょう)をする人(ひと)が足(た)りなくなっています。,4.6
１４日、この計画に参加している日本の１２人が約３５０ｈａの畑を見に行きました。,１４日(じゅうよっか)、この計画(けいかく)に参加(さんか)している日本(にっぽん)の１２人(にん)が約(やく)３５０ｈａの畑(はたけ)を見(み)に行(い)きました。,4.2
今回日本の農業の技術を使ってみると、今までの２倍の大豆ができました。,今回(こんかい)日本(にっぽん)の農業(のうぎょう)の技術(ぎじゅつ)を使(つか)ってみると、今(いま)までの２倍(ばい)の大豆(だいず)ができました。,3.8
日本は、動物の餌にする作物を輸入することも考えています。,日本(にっぽん)は、動物(どうぶつ)の餌(えさ)にする作物(さくもつ)を輸入(ゆにゅう)することも考(かんが)えています。,3.8
やなせさんは大学を卒業して、デパートなどで宣伝やデザインの仕事をしていました。,やなせさんは大学(だいがく)を卒業(そつぎょう)して、デパートなどで宣伝(せんでん)やデザインの仕事(しごと)をしていました。,3.6
小学校の音楽の教科書にも出ました。,小学校(しょうがっこう)の音楽(おんがく)の教科書(きょうかしょ)にも出(で)ました。,4.4
１５日、博多駅で「ななつ星」が出発する式がありました。,１５日(にち)、博多駅(はかたえき)で「ななつ星(ぼし)」が出発(しゅっぱつ)する式(しき)がありました。,4.1
１５日は、２８人が乗って、３泊４日のコースに出発しました。,１５日(にち)は、２８人(にん)が乗(の)って、３泊(ぱく)４日(よっか)のコースに出発(しゅっぱつ)しました。,4.3
ＪＲ九州によると、来年６月までに出発する列車の予約は全部いっぱいです。,ＪＲ九州(きゅうしゅう)によると、来年(らいねん)６月(がつ)までに出発(しゅっぱつ)する列車(れっしゃ)の予約(よやく)は全部(ぜんぶ)いっぱいです。,4.0
このため、大島町ではいろいろな所で山が崩れたり、川の水があふれたりしました。,このため、大島町(おおしままち)ではいろいろな所(ところ)で山(やま)が崩(くず)れたり、川(かわ)の水(みず)があふれたりしました。,4.0
