page,jp,phone,th
29,おへそ,sàʔ dɯɯ,สะดือ
29,腸,lam sây,ลำไส้
29,肝臓・レバー,tàp,ตับ
29,腎臓,tay,ไต
29,筋肉,klâam nɯ́a,กล้ามเนื้อ
29,足が長い,khǎa yaaw,ขายาว
29,足が短い,khǎa sân,ขาสั้น
29,ハイヒール,rɔɔŋ tháaw sôn sǔuŋ,รองเท้าส้นสูง
30,皮（皮膚）がむける,phǐw nǎŋ thà lɔ̀ɔk,ผิวหนังถลอก
30,頭がよい,sa mɔ̌ɔŋ dii,สมองดี
30,眉をひそめる,khà mùat khíw,ขมวดคิ้ว
30,口をあける,ʔâa pàak,อ้าปาก
30,目を開く,lɯɯm taa,ลืมตา
30,目をつぶる,làp taa,หลับตา
30,瞬きをする,ka phríp taa,กะพริบตา
30,顔立ち・容貌,nâa taa,หน้าตา
30,鼻をかむ,sàŋ nám mûuk,สั่งน้ำมูก
30,うなずく,phá yák nâa,พยักหน้า
30,髪型,soŋ phǒm,ทรงผม
30,髪を分ける,sɛ̀ɛk phǒm,แสกผม
30,虫歯（になる）,fan phùʔ,ฟันผุ
30,背を曲げる・猫背,lǎŋ ŋɔɔ,หลังงอ
30,神経,sên pra sàat,เส้นประสาท
30,神経がやられる,pra sàat sǐa,ประสาทเสีย
30,腕前,fǐi mɯɯ,ฝีมือ
30,骨が折れる,kra dùuk hàk,กระดูกหัก
30,ウエストが長い（足が短い）,ʔeew yaaw,เอวยาว
30,ふくらはぎが大きい（大根足）,nɔ̂ɔŋ yày,น่องใหญ่
30,出べそ,sà dɯɯ cùn,สะดือจุ่น
31,ひげをたくわえる,wáy nùat,ไว้หนวด
31,そばかす,fâa,ฝ้า
31,ほくろ,fǎy,ไฝ
31,にきび,sǐw,สิว
31,涙,nám taa,น้ำตา
31,汗,ŋɯ̀a,เหงื่อ
31,汗をかく,ŋɯ̀a ʔɔ̀ɔk,เหงื่อออก
31,つば,nám laay,น้ำลาย
31,つばをのみこむ,klɯɯn náam laay,กลืนน้ำลาย
31,（のどが）痛む,cèp khɔɔ,เจ็บคอ
31,小便・オシッコ（をする）,chìi,ฉี่
31,大便・ウンチ（をする）,ʔɯ̀ʔ,อึ
31,オシッコをがまんする,ʔân chìi,อั้นฉี่
31,オナラ（をする）,tòt,ตด
31,鼻水,nám mûuk,น้ำมูก
31,鼻毛,khǒn cà mùuk,ขนจมูก
31,せき（をする）,ʔay,ไอ
31,くしゃみ（をする）,caam,จาม
31,あくび（をする）,hǎaw,หาว
31,げっぷ（をする）,rəə,เรอ
31,息（をする）,hǎay cay,หายใจ
32,体格・からだつき,rûup râaŋ,รูปร่าง
32,健康だ・元気だ,sùk khà phâap dii,สุขภาพดี
32,丈夫な,khɛ̌ŋ rɛɛŋ,แข็งแรง
32,弱い,ʔɔ̀ɔn ʔɛɛ,อ่อนแอ
32,白髪・髪の白い,phǒm ŋɔ̀ɔk,ผมหงอก
32,はげ頭・頭のはげた,hǔa láan,หัวล้าน
32,お腹の出た,phuŋ yày,พุงใหญ่
32,背の高い,tua sǔuŋ,ตัวสูง
32,背が低い,tua tîa,ตัวเตี้ย
32,太っている・太い,ʔûan,อ้วน
32,痩せている・細い,phɔ̌ɔm,ผอม
32,脂肪,khǎy man,ไขมัน
32,でんぷん,pɛ̂ɛŋ,แป้ง
32,タンパク質,proo tiin,โปรตีน
32,血が出る,lɯ̂at ʔɔ̀ɔk,เลือดออก
32,身体障害者,khon phíʔ kaan,คนพิการ
32,顔色,sǐi nâa,สีหน้า
32,（顔が）青白い,nâa sîit,หน้าซีด
32,疲れる・疲れた,nɯ̀ay,เหนื่อย
32,一重まぶた,taa chán diaw,ตาชั้นเดียว
32,二重まぶた,taa sɔ̌ɔŋ chán,ตาสองชั้น
33,かたち,rûup,รูป
33,大きい,yày,ใหญ่
33,小さい,lék,เล็ก
33,多い,mâak,มาก
33,少ない,nɔ́ɔy,น้อย
33,長い,yaaw,ยาว
33,短い,sân,สั้น
33,高い,sǔuŋ,สูง
33,低い,tîa,เตี้ย
33,厚い,nǎa,หนา
33,薄い,baaŋ,บาง
33,狭い,khɛ̂ɛp,แคบ
33,広い,kwâaŋ,กว้าง
33,重い,nàk,หนัก
33,軽い,baw,เบา
33,丸い,klom,กลม
33,三角だ,sǎam lìam,สามเหลี่ยม
33,四角い,sìi lìam,สี่เหลี่ยม
33,鋭い・とがった,lɛ̌ɛm,แหลม
33,こまかい,láʔ ʔìat,ละเอียด
33,粗い,yàap,หยาบ
34,良い,dii,ดี
34,悪い,mây dii,ไม่ดี
34,強い・力,rɛɛŋ,แรง
34,硬い,khɛ̌ŋ,แข็ง
34,弱い・柔らかい・色が薄い,ʔɔ̀ɔn,อ่อน
34,危険な,ʔan tà raay,อันตราย
34,正常な・通常は,pòk kà tìʔ,ปกติ
34,変だ・おかしい,plɛ̀ɛk,แปลก
34,新しい,mày,ใหม่
34,古い,kàw,เก่า
34,同じだ,mɯ̌an,เหมือน
34,違う・異なる,mây mɯ̌an,ไม่เหมือน
34,複雑な,sáp sɔ́ɔn,ซับซ้อน
34,混乱した,sàp sǒn,สับสน
34,深い,lɯ́k,ลึก
34,浅い,tɯ̂ɯn,ตื้น
34,美しい・きれいな,sǔay,สวย
34,かわいい・愛すべき,nâa rák,น่ารัก
34,みっともない,nâa klìat,น่าเกลียด
34,清潔だ,sàʔ ʔàat,สะอาด
34,汚い,sòk kà pròk,สกปรก
35,天候・天気,ʔaa kàat,อากาศ
35,陽光・日差し,dɛ̀ɛt,แดด
35,雲,mêek,เมฆ
35,風,lom,ลม
35,雨,fǒn,ฝน
35,雪,hìʔ máʔ,หิมะ
35,台風,tây fùn,ไต้ฝุ่น
35,霧,mɔ̀ɔk,หมอก
35,ひょう,lûuk hèp,ลูกเห็บ
35,雷が鳴る,fáa rɔ́ɔŋ,ฟ้าร้อง
35,稲光がする,fáa lɛ̂ɛp,ฟ้าแลบ
35,天気予報,phá yaa kɔɔn ʔaa kàat,พยากรณ์อากาศ
35,気温・温度,ʔun hà phuum,อุณหภูมิ
35,あたたかい・あたためる,ʔùn,อุ่น
35,暑い・熱い,rɔ́ɔn,ร้อน
35,涼しい・冷たい,yen,เย็น
35,寒い,nǎaw,หนาว
35,すがすがしい,sòt chɯ̂ɯn,สดชื่น
35,むし暑い,ʔòp ʔâaw,อบอ้าว
35,洪水になる,nám thûam,น้ำท่วม
35,地震,phɛ̀n din wǎy,แผ่นดินไหว
36,地理・地理学,phuu míʔ sàat,ภูมิศาสตร์
36,地図,phɛ̌ɛn thîi,แผนที่
36,山,phuu khǎw,ภูเขา
36,山脈,thɯ̂ak khǎw,เทือกเขา
36,火山,phuu khǎw fay,ภูเขาไฟ
36,川,mɛ̂ɛ náam,แม่น้ำ
36,海,thá lee,ทะเล
36,海岸,chaay tháʔ lee,ชายทะเล
36,湾,ʔàaw,อ่าว
36,波,khlɯ̂ɯn,คลื่น
36,半島,lɛ̌ɛm khâap sa mùt,แหลม คาบสมุทร
36,島,kɔ̀ʔ,เกาะ
36,大陸,thá wîip,ทวีป
36,湖,tháʔ lee sàap,ทะเลสาบ
36,砂漠,thá lee saay,ทะเลทราย
36,滝,nám tòk,น้ำตก
36,田,naa,นา
36,畑,rây,ไร่
36,森・林,pàa,ป่า
36,野原,thûŋ,ทุ่ง
36,温泉,nám phúʔ rɔ́ɔn,น้ำพุร้อน
38,虫,ma lɛɛŋ,แมลง
38,蝶,phǐi sɯ̂a,ผีเสื้อ
38,蜜蜂,phɯ̂ŋ,ผึ้ง
38,ハエ,ma lɛɛŋ wan,แมลงวัน
38,蚊,yuŋ,ยุง
38,ゴキブリ,ma lɛɛŋ sàap,แมลงสาบ
38,アリ,mót,มด
38,セミ,cák càn,จั๊กจั่น
38,トンボ,mɛɛŋ pɔɔ,แมงปอ
38,クモ,mɛɛŋ mum,แมงมุม
38,ムカデ,tàʔ khàap,ตะขาบ
38,ノミ,màt,หมัด
38,タガメ,mɛɛŋ daa,แมงดา
38,サソリ,mɛɛŋ pɔ̀ɔŋ,แมงป่อง
38,クラゲ,mɛɛŋ ka phrun,แมงกะพรุน
38,ヤモリ,cîŋ còk,จิ้งจก
38,カエル,kòp,กบ
38,蛇,ŋuu,งู
38,コブラ,ŋuu hàw,งูเห่า
38,ワニ,cɔɔ ráʔ khêe,จระเข้
38,ワニ園,sǔan cɔɔ ráʔ khêe,สวนจระเข้
39,植物,phɯ̂ɯt,พืช
39,稲・米・ごはん・食事,khâaw,ข้าว
39,麦,khâaw sǎa lii,ข้าวสาลี
39,草,yâa,หญ้า
39,樹木,tôn máay,ต้นไม้
39,松,tôn sǒn,ต้นสน
39,やしの木,tôn máʔ phráaw,ต้นมะพร้าว
39,幸福の木,tôn wâat sa nǎa,ต้นวาสนา
39,蓮,bua,บัว
39,竹,máay phày,ไม้ไผ่
39,枝,kìŋ máay,กิ่งไม้
39,花,dɔ̀ɔk máay,ดอกไม้
39,桜,dɔ̀ɔk saa kùʔ ráʔ,ดอกซากุระ
39,実,lûuk máy,ลูกไม้
39,根,râak,ราก
39,葉,bay máay,ใบไม้
39,植える,plùuk,ปลูก
39,種,má lét,เมล็ด
39,種をまく,wàan má lét,หว่านเมล็ด
39,咲く,baan,บาน
39,とげ,nǎam,หนาม
40,住所,thîi yùu,ที่อยู่
40,家,bâan,บ้าน
40,アパート・マンション,ʔa phâat mén,อพาร์ตเมนต์
40,ビル,tɯ̀k,ตึก
40,スラム,sa lam,สลัม
40,家をさがす,hǎa bâan,หาบ้าน
40,部屋を借りる,châw hɔ̂ɔŋ,เช่าห้อง
40,家主・大家さん,câw khɔ̌ɔŋ bâan,เจ้าของบ้าน
40,家賃,khâa châw bâan,ค่าเช่าบ้าน
40,建てる・建設する,sâaŋ,สร้าง
40,住む,ʔaa sǎy yùu,อาศัยอยู่
40,平屋,bâan chán diaw,บ้านชั้นเดียว
40,二階建て,bâan sɔ̌ɔŋ chán,บ้านสองชั้น
40,屋根,lǎŋ khaa,หลังคา
40,垣根,rúa,รั้ว
40,門・ドア・戸,pra tuu,ประตู
40,柱,sǎw,เสา
40,ベランダ,ráʔ biaŋ,ระเบียง
40,構造,khrooŋ sâaŋ,โครงสร้าง
40,煉瓦,ʔìt,อิฐ
40,庭,sǔan,สวน
41,部屋,hɔ̂ɔŋ,ห้อง
41,書斎,hɔ̂ɔŋ nǎŋ sɯ̌ɯ,ห้องหนังสือ
41,応接室,hɔ̂ɔŋ ráp khɛ̀ɛk,ห้องรับแขก
41,居間,hɔ̂ɔŋ nâŋ lên,ห้องนั่งเล่น
41,台所,hɔ̂ɔŋ khrua,ห้องครัว
41,寝室,hɔ̂ɔŋ nɔɔn,ห้องนอน
41,仏間,hɔ̂ɔŋ phráʔ,ห้องพระ
41,トイレ,hɔ̂ɔŋ náam,ห้องน้ำ
41,浴室,hɔ̂ɔŋ ʔàap náam,ห้องอาบน้ำ
41,物置部屋,hɔ̂ɔŋ kèp khɔ̌ɔŋ,ห้องเก็บของ
41,１階,chán thîi nîi,ชั้นที่หนี่ง
41,２階,chán thîi sɔ̌ɔŋ,ชั้นที่สอง
41,郵便受け,tûu còt mǎay,ตู้จดหมาย
41,窓,nâa tàaŋ,หน้าต่าง
41,天井,phee daan,เพดาน
41,床,phɯ́ɯn,พื้น
41,壁,fǎa hɔ̂ɔŋ,ฝาห้อง
41,階段,kra day,กระได
41,裏口,pra tuu lǎŋ,ประตูหลัง
41,ガラス,kra còk,กระจก
41,カーテン,mâan,ม่าน
42,家具,fəə níʔ cəə,เฟอร์นิเจอร์
42,ベッド,tiaŋ,เตียง
42,マットレス・敷布団,thîi nɔɔn,ที่นอน
42,シーツ,phâa puu thîi nɔɔn,ผ้าปูที่นอน
42,毛布・掛け布団,phâa hòm,ผ้าห่ม
42,枕,mɔ̌ɔn,หมอน
42,じゅうたん,phrom,พรม
42,棚・タンス,tûu,ตู้
42,洋服だんす,tûu sɯ̂a phâa,ตู้เสื้อผ้า
42,本棚,tûu nǎŋ sɯ̌ɯ,ตู้หนังสือ
42,食器棚,tûu wáy caan,ตู้ไว้จาน
42,ソファー,soo faa,โซฟา
42,食卓,tóʔ ʔaa hǎan,โต๊ะอาหาร
42,花瓶,cɛɛ kan,แจกัน
42,目覚まし時計,naa lí kaa plùk,นาฬิกาปลุก
42,灰皿,thîi khìa bùʔ rìi,ที่เขี่ยบุหรี่
42,ござ,sɯ̀a,เสื่อ
42,散らかっている,rók,รก
42,かたづける・しまう,kèp khɔ̌ɔŋ,เก็บของ
42,ほこり,fùn,ฝุ่น
42,仏壇,hîŋ phráʔ,หิ้งพระ
43,主婦,mɛ̂ɛ bâan,แม่บ้าน
43,掃除,tham khwaam sàʔ ʔàat,ทำความสะอาด
43,掃く,kwàat,กวาด
43,磨く,khàt,ขัด
43,拭く,chét,เช็ด
43,床などを拭く・こする,thǔu,ถู
43,皿洗いをする,láaŋ caan,ล้างจาน
43,洗濯する,sák phâa,ซักผ้า
43,粉石鹸,phǒŋ sák fɔ̂ɔk,ผงซักฟอก
43,洗濯物を干す,tàak phâa,ตากผ้า
43,ハンガー,máay khwɛ̌ɛn sɯ̂a,ไม้แขวนเสื้อ
43,懐中電灯,fay chǎay,ไฟฉาย
43,鍵,kun cɛɛ,กุญแจ
43,ハンコ,traa,ตรา
43,修理する,sɔ̂ɔm,ซ่อม
43,かなづち,khɔ́ɔn,ค้อน
43,釘,tàʔ puu,ตะปู
43,のこぎり,lɯ̂ay,เลื่อย
43,ドライバー,khǎy khuaŋ,ไขควง
43,引っ越しする,yáay bâan,ย้ายบ้าน
43,雑巾,phâa khîi ríw,ผ้าขี้ริ้ว
44,電気・あかり,fay fáa,ไฟฟ้า
44,洗濯機,khrɯ̂aŋ sák phâa,เครื่องซักผ้า
44,電気がま,mɔ̂ɔ hǔŋ khâaw,หม้อหุงข้าว
44,扇風機,phót lom,พ้ดลม
44,エアコン,ʔɛɛ,แอร์
44,ラジオ,wít thá yúʔ,วิทยุ
44,テレビ,thoo rá thát,โทรทัศน์
44,ドライヤー,khrɯ̂aŋ pàw phǒm,เครื่องเป่าผม
44,電気スタンド,fay tâŋ tóʔ,ไฟตั้งโต๊ะ
44,電気掃除機,khrɯ̂aŋ dùut fùn,เครื่องดูดฝุ่น
44,冷蔵庫,tûu yen,ตู้เย็น
44,電子レンジ,taw ʔòp may khroo wép,เตาอบไมโครเวฟ
44,テープレコーダー,khrɯ̂aŋ ʔàt sǐaŋ,เครื่องอัดเสียง
44,ビデオ,wii dii ʔoo,วีดีโอ
44,ウォークマン,wɔ̂ɔk mɛɛn,วอล์กแมน
44,コンセント,plák,ปลั๊ก
44,スイッチ,sa wít,สวิตช์
44,乾電池,thàan,ถ่าน
44,電球,lɔ̀ɔt fay,หลอดไฟ
44,蛍光灯,lɔ̀ɔt fay nii ʔɔɔn,หลอดไฟนีออน
44,電気代,khâa fay,ค่าไฟ
46,食器,khrɯ̂aŋ thûay chaam,เครื่องถ้วยชาม
46,皿,caan,จาน
46,どんぶり・深い皿,chaam,ชาม
46,コップ,kɛ̂ɛw,แก้ว
46,カップ・湯呑茶碗,thûay,ถ้วย
46,スプーン,chɔ́ɔn,ช้อน
46,フォーク,sɔ̂ɔm,ส้อม
46,はし,tàʔ kìap,ตะเกียบ
46,ポット,kra tìk náam,กระติกน้ำ
46,なべ・釜,mɔ̂ɔ,หม้อ
46,盆,thàat,ถาด
46,トースター,khrɯ̂aŋ pîŋ khà nǒm paŋ,เครื่องปิ้งขนมปัง
46,包丁,mîit tham khrua,มีดทำครัว
46,まな板,khǐaŋ,เขียง
46,やかん,kaa náam,กาน้ำ
46,フライパン,kra tháʔ,กระทะ
46,ふきん,phâa chét caan,ผ้าเช็ดจาน
46,ようじ,máay cîm fan,ไม้จิ้มฟัน
46,ガスレンジ,taw kɛ́ɛt,เตาแก๊ส
46,臼,khrók,ครก
46,ゴミ箱,thǎŋ khà yàʔ,ถังขยะ
